Retention Time (min),Total Absorbance Chromatogram (mAU)
0.0004166666666666667,-1484.4295000000002
0.0008333333333333334,-1486.6350000000002
0.00125,-1489.3290000000006
0.0016666666666666668,-1489.2990000000007
0.0020833333333333333,-1488.9375000000005
0.0025,-1488.9844999999996
0.002916666666666667,-1487.8790000000008
0.0033333333333333335,-1488.893000000001
0.00375,-1489.4599999999991
0.004166666666666667,-1488.6089999999997
0.004583333333333333,-1485.0895000000003
0.005,-1478.6724999999988
0.005416666666666667,-1472.2989999999998
0.005833333333333334,-1465.986
0.00625,-1461.1895000000002
0.006666666666666667,-1456.9994999999994
0.007083333333333333,-1455.1599999999987
0.0075,-1457.0300000000004
0.007916666666666667,-1462.4195000000007
0.008333333333333333,-1470.133
0.00875,-1477.2295
0.009166666666666667,-1481.7415
0.009583333333333333,-1483.9794999999992
0.01,-1485.674500000001
0.010416666666666666,-1485.4250000000002
0.010833333333333334,-1484.342000000001
0.01125,-1482.0074999999997
0.011666666666666667,-1480.272
0.012083333333333333,-1478.7380000000003
0.0125,-1474.575
0.012916666666666667,-1468.5560000000003
0.013333333333333334,-1459.4630000000004
0.01375,-1450.441500000001
0.014166666666666666,-1444.8210000000001
0.014583333333333334,-1443.0360000000005
0.015,-1441.9495000000013
0.015416666666666667,-1442.2919999999997
0.015833333333333335,-1443.848500000001
0.01625,-1445.7015000000008
0.016666666666666666,-1450.4379999999996
0.017083333333333332,-1454.6754999999998
0.0175,-1461.397500000001
0.017916666666666668,-1468.7509999999988
0.018333333333333333,-1474.4345000000003
0.01875,-1479.361500000001
0.019166666666666665,-1479.1619999999998
0.019583333333333335,-1475.3155000000004
0.02,-1469.6994999999995
0.020416666666666666,-1465.2745000000002
0.020833333333333332,-1461.7565000000002
0.02125,-1459.136000000001
0.021666666666666667,-1456.7340000000002
0.022083333333333333,-1453.0640000000003
0.0225,-1451.959
0.022916666666666665,-1450.8245000000002
0.023333333333333334,-1452.9130000000007
0.02375,-1455.8325000000007
0.024166666666666666,-1458.0885000000005
0.024583333333333332,-1462.4625000000005
0.025,-1464.0819999999999
0.025416666666666667,-1468.0444999999995
0.025833333333333333,-1471.4210000000003
0.02625,-1473.8449999999998
0.02666666666666667,-1476.7129999999997
0.027083333333333334,-1478.3644999999992
0.0275,-1479.8199999999995
0.027916666666666666,-1478.076
0.028333333333333332,-1474.7984999999999
0.02875,-1470.2409999999995
0.029166666666666667,-1465.7940000000017
0.029583333333333333,-1463.6920000000002
0.03,-1463.222
0.030416666666666668,-1464.5110000000009
0.030833333333333334,-1466.771000000001
0.03125,-1469.4160000000002
0.03166666666666667,-1473.6549999999993
0.03208333333333333,-1476.1964999999998
0.0325,-1477.9359999999992
0.032916666666666664,-1477.423999999999
0.03333333333333333,-1476.1755
0.03375,-1475.8640000000005
0.034166666666666665,-1475.3770000000002
0.034583333333333334,-1478.5594999999994
0.035,-1481.0604999999991
0.035416666666666666,-1485.2649999999996
0.035833333333333335,-1489.4535
0.03625,-1491.5719999999994
0.03666666666666667,-1493.7274999999995
0.037083333333333336,-1492.6674999999996
0.0375,-1490.2250000000013
0.03791666666666667,-1486.2479999999987
0.03833333333333333,-1481.5335
0.03875,-1476.4250000000006
0.03916666666666667,-1470.784
0.03958333333333333,-1466.6750000000002
0.04,-1464.0470000000005
0.04041666666666666,-1463.8275
0.04083333333333333,-1464.9460000000006
0.04125,-1466.898499999999
0.041666666666666664,-1468.259
0.042083333333333334,-1470.0290000000005
0.0425,-1474.0794999999998
0.042916666666666665,-1477.0940000000005
0.043333333333333335,-1478.9179999999997
0.04375,-1479.1064999999992
0.04416666666666667,-1477.4960000000008
0.044583333333333336,-1474.3064999999995
0.045,-1470.043
0.04541666666666667,-1466.072
0.04583333333333333,-1464.1890000000003
0.04625,-1465.9115000000004
0.04666666666666667,-1471.0500000000002
0.04708333333333333,-1475.9449999999993
0.0475,-1478.2595
0.04791666666666667,-1478.0159999999994
0.04833333333333333,-1476.0685
0.04875,-1474.6560000000002
0.049166666666666664,-1475.0109999999995
0.04958333333333333,-1476.6
0.05,-1479.7200000000007
0.050416666666666665,-1483.0794999999987
0.050833333333333335,-1483.9009999999987
0.05125,-1484.5365000000008
0.051666666666666666,-1482.7919999999997
0.052083333333333336,-1479.849499999999
0.0525,-1478.1330000000007
0.05291666666666667,-1475.6775
0.05333333333333334,-1473.7345000000003
0.05375,-1471.5175
0.05416666666666667,-1469.4434999999994
0.05458333333333333,-1470.4395
0.055,-1471.0754999999995
0.05541666666666667,-1474.1454999999992
0.05583333333333333,-1477.8175000000006
0.05625,-1478.5774999999999
0.056666666666666664,-1479.2595
0.05708333333333333,-1477.4995
0.0575,-1475.973999999999
0.057916666666666665,-1474.8564999999996
0.058333333333333334,-1476.1564999999996
0.05875,-1479.2844999999988
0.059166666666666666,-1481.6709999999998
0.059583333333333335,-1486.0249999999996
0.06,-1489.1380000000001
0.06041666666666667,-1490.9500000000003
0.060833333333333336,-1491.5355000000006
0.06125,-1489.638999999999
0.06166666666666667,-1486.6239999999993
0.06208333333333333,-1478.087000000001
