Retention Time (min),Total Absorbance Chromatogram (mAU)
0.0004166666666666667,-1454.281999999999
0.0008333333333333334,-1450.0279999999989
0.00125,-1450.017000000001
0.0016666666666666668,-1449.2100000000005
0.0020833333333333333,-1450.7000000000005
0.0025,-1453.4799999999989
0.002916666666666667,-1456.7380000000005
0.0033333333333333335,-1460.1180000000004
0.00375,-1459.2284999999995
0.004166666666666667,-1457.2960000000003
0.004583333333333333,-1454.3109999999992
0.005,-1453.2640000000008
0.005416666666666667,-1454.8574999999996
0.005833333333333334,-1456.4170000000001
0.00625,-1457.8700000000003
0.006666666666666667,-1457.813000000001
0.007083333333333333,-1458.2805
0.0075,-1456.9545000000005
0.007916666666666667,-1454.5649999999991
0.008333333333333333,-1452.0189999999998
0.00875,-1449.634
0.009166666666666667,-1449.0019999999995
0.009583333333333333,-1448.5439999999994
0.01,-1449.2494999999994
0.010416666666666666,-1451.2460000000003
0.010833333333333334,-1453.0224999999998
0.01125,-1454.144999999999
0.011666666666666667,-1454.8354999999995
0.012083333333333333,-1454.5415000000003
0.0125,-1454.8434999999997
0.012916666666666667,-1453.3260000000007
0.013333333333333334,-1451.3305000000003
0.01375,-1451.6315
0.014166666666666666,-1449.8269999999998
0.014583333333333334,-1450.212000000001
0.015,-1450.4770000000003
0.015416666666666667,-1449.6000000000001
0.015833333333333335,-1450.6454999999999
0.01625,-1449.715
0.016666666666666666,-1450.9175000000002
0.017083333333333332,-1452.0125
0.0175,-1451.8785000000005
0.017916666666666668,-1453.3409999999994
0.018333333333333333,-1455.0509999999995
0.01875,-1456.6900000000005
0.019166666666666665,-1458.9250000000002
0.019583333333333335,-1460.8685000000003
0.02,-1461.1234999999995
0.020416666666666666,-1462.4229999999995
0.020833333333333332,-1463.8254999999995
0.02125,-1464.613
0.021666666666666667,-1466.087
0.022083333333333333,-1465.2655000000002
0.0225,-1466.2965000000004
0.022916666666666665,-1467.1450000000002
0.023333333333333334,-1464.7300000000002
0.02375,-1463.0189999999998
0.024166666666666666,-1457.1795
0.024583333333333332,-1451.884999999999
0.025,-1447.9064999999996
0.025416666666666667,-1442.081
0.025833333333333333,-1440.4784999999995
0.02625,-1439.3195000000003
0.02666666666666667,-1440.6714999999992
0.027083333333333334,-1443.5510000000002
0.0275,-1443.8355000000001
0.027916666666666666,-1447.3605000000007
0.028333333333333332,-1447.106500000001
0.02875,-1446.4745
0.029166666666666667,-1446.2075000000007
0.029583333333333333,-1444.3409999999997
0.03,-1444.4065
0.030416666666666668,-1442.4625000000008
0.030833333333333334,-1440.985499999999
0.03125,-1438.6949999999997
0.03166666666666667,-1438.757500000001
0.03208333333333333,-1440.5549999999998
0.0325,-1441.4929999999997
0.032916666666666664,-1442.1405
0.03333333333333333,-1442.1609999999996
0.03375,-1444.1080000000006
0.034166666666666665,-1445.7134999999994
0.034583333333333334,-1448.395499999999
0.035,-1453.1695
0.035416666666666666,-1455.8485000000007
0.035833333333333335,-1458.5570000000002
0.03625,-1460.1789999999994
0.03666666666666667,-1458.5364999999993
0.037083333333333336,-1456.444
0.0375,-1451.6395000000002
0.03791666666666667,-1445.5845000000002
0.03833333333333333,-1439.5245000000016
0.03875,-1434.608500000001
0.03916666666666667,-1434.0710000000004
0.03958333333333333,-1436.0035000000003
0.04,-1440.0279999999996
0.04041666666666666,-1446.8899999999996
0.04083333333333333,-1454.7034999999992
0.04125,-1460.9270000000004
0.041666666666666664,-1465.2595000000003
0.042083333333333334,-1466.0784999999998
0.0425,-1467.3779999999997
0.042916666666666665,-1470.6124999999995
0.043333333333333335,-1472.9955000000002
0.04375,-1475.5614999999998
0.04416666666666667,-1474.3534999999997
0.044583333333333336,-1470.4585
0.045,-1464.101
0.04541666666666667,-1454.3215
0.04583333333333333,-1446.5430000000003
0.04625,-1441.4725000000003
0.04666666666666667,-1440.1660000000002
0.04708333333333333,-1443.1559999999997
0.0475,-1447.289
0.04791666666666667,-1451.266
0.04833333333333333,-1455.8169999999993
0.04875,-1459.7434999999994
0.049166666666666664,-1463.2534999999996
0.04958333333333333,-1466.3964999999994
0.05,-1468.8395000000003
0.050416666666666665,-1472.0444999999988
