Retention Time (min),Total Absorbance Chromatogram (mAU)
0.0004166666666666667,-1357.8200000000002
0.0008333333333333334,-1358.877500000001
0.00125,-1360.6065
0.0016666666666666668,-1362.443
0.0020833333333333333,-1362.1945000000005
0.0025,-1364.022
0.002916666666666667,-1366.7405000000006
0.0033333333333333335,-1371.0855000000006
0.00375,-1375.8365000000001
0.004166666666666667,-1380.2415000000003
0.004583333333333333,-1383.5194999999997
0.005,-1386.661499999999
0.005416666666666667,-1390.8115000000005
0.005833333333333334,-1393.6044999999995
0.00625,-1394.0039999999997
0.006666666666666667,-1393.7069999999987
0.007083333333333333,-1391.1970000000003
0.0075,-1386.2730000000001
0.007916666666666667,-1381.3874999999996
0.008333333333333333,-1377.1235000000008
0.00875,-1375.8474999999994
0.009166666666666667,-1376.1640000000011
0.009583333333333333,-1379.3555000000003
0.01,-1383.6904999999995
0.010416666666666666,-1385.8205000000007
0.010833333333333334,-1387.8944999999999
0.01125,-1389.8584999999994
0.011666666666666667,-1392.0095000000006
0.012083333333333333,-1394.6090000000004
0.0125,-1395.590499999999
0.012916666666666667,-1397.666500000001
0.013333333333333334,-1399.0524999999993
0.01375,-1398.9155000000005
0.014166666666666666,-1399.6709999999998
0.014583333333333334,-1398.9944999999998
0.015,-1399.5404999999996
0.015416666666666667,-1400.4465000000002
0.015833333333333335,-1400.9690000000012
0.01625,-1400.9370000000001
0.016666666666666666,-1398.3219999999994
0.017083333333333332,-1396.3205000000012
0.0175,-1394.5684999999999
0.017916666666666668,-1392.6290000000001
0.018333333333333333,-1392.1430000000005
0.01875,-1391.01
0.019166666666666665,-1390.8859999999995
0.019583333333333335,-1391.6194999999998
0.02,-1389.7160000000006
0.020416666666666666,-1388.3839999999996
0.020833333333333332,-1385.9485
0.02125,-1385.5304999999992
0.021666666666666667,-1388.1230000000003
0.022083333333333333,-1391.4310000000005
0.0225,-1397.2490000000007
0.022916666666666665,-1400.4515000000001
0.023333333333333334,-1402.2795000000006
0.02375,-1400.9820000000009
0.024166666666666666,-1396.4870000000008
0.024583333333333332,-1390.5020000000009
0.025,-1384.2414999999994
0.025416666666666667,-1380.5385000000003
0.025833333333333333,-1378.7554999999993
0.02625,-1381.2004999999997
0.02666666666666667,-1383.6645000000008
0.027083333333333334,-1385.7795
0.0275,-1388.1765
0.027916666666666666,-1388.1930000000007
0.028333333333333332,-1390.594999999999
0.02875,-1391.1875000000007
0.029166666666666667,-1390.8355000000004
0.029583333333333333,-1389.2194999999997
0.03,-1385.3884999999996
0.030416666666666668,-1382.9349999999997
0.030833333333333334,-1377.6970000000006
0.03125,-1374.8614999999988
0.03166666666666667,-1373.0479999999998
0.03208333333333333,-1373.3865000000005
0.0325,-1376.1079999999993
0.032916666666666664,-1377.8615000000004
0.03333333333333333,-1378.7240000000002
0.03375,-1376.1734999999996
0.034166666666666665,-1373.9124999999988
0.034583333333333334,-1371.6775000000002
0.035,-1370.2850000000005
0.035416666666666666,-1370.816999999999
0.035833333333333335,-1373.3255000000001
0.03625,-1376.77
0.03666666666666667,-1380.048
0.037083333333333336,-1383.6865
0.0375,-1384.2595
0.03791666666666667,-1383.4260000000004
0.03833333333333333,-1380.743
0.03875,-1378.857499999999
0.03916666666666667,-1377.0124999999998
0.03958333333333333,-1373.2540000000004
0.04,-1372.419
0.04041666666666666,-1370.0475000000004
0.04083333333333333,-1370.2195000000002
0.04125,-1370.3320000000003
0.041666666666666664,-1368.952
0.042083333333333334,-1369.381
0.0425,-1368.6619999999987
0.042916666666666665,-1370.1694999999993
0.043333333333333335,-1371.5940000000005
0.04375,-1373.602
0.04416666666666667,-1377.332
0.044583333333333336,-1381.2674999999997
0.045,-1386.1675000000005
0.04541666666666667,-1390.567499999999
0.04583333333333333,-1393.2789999999995
0.04625,-1396.0554999999997
0.04666666666666667,-1397.252
0.04708333333333333,-1397.2504999999994
0.0475,-1396.0250000000005
0.04791666666666667,-1395.1179999999995
0.04833333333333333,-1395.4179999999997
0.04875,-1396.0979999999997
0.049166666666666664,-1398.1834999999996
0.04958333333333333,-1399.925
0.05,-1401.5425
0.050416666666666665,-1402.0785000000005
0.050833333333333335,-1403.9180000000006
0.05125,-1403.506
0.051666666666666666,-1403.9879999999998
0.052083333333333336,-1404.888500000001
0.0525,-1404.1314999999997
0.05291666666666667,-1403.2370000000003
0.05333333333333334,-1398.2359999999996
0.05375,-1394.2655
0.05416666666666667,-1389.4635
0.05458333333333333,-1387.2914999999994
0.055,-1387.21
0.05541666666666667,-1385.9160000000002
0.05583333333333333,-1385.721
0.05625,-1383.4035
0.056666666666666664,-1380.5825
0.05708333333333333,-1377.835
0.0575,-1375.4389999999996
0.057916666666666665,-1376.4264999999996
0.058333333333333334,-1378.0679999999998
0.05875,-1379.9919999999995
0.059166666666666666,-1381.5269999999994
0.059583333333333335,-1381.1560000000004
0.06,-1381.814499999999
0.06041666666666667,-1382.16
0.060833333333333336,-1382.265999999999
0.06125,-1381.3185000000003
0.06166666666666667,-1379.3335
0.06208333333333333,-1376.4689999999998
0.0625,-1372.6730000000002
