Retention Time (min),310 nm intensity (mAU)
0.0002,-10.913833333333331
0.0006166666666666666,-10.922333333333333
0.0010333333333333334,-10.928833333333335
0.00145,-10.931333333333333
0.0018666666666666666,-10.933
0.0022833333333333334,-10.929666666666668
0.0027,-10.929333333333332
0.0031166666666666665,-10.923333333333332
0.003533333333333333,-10.90633333333333
0.00395,-10.892833333333334
0.004366666666666666,-10.8765
0.004783333333333333,-10.87
0.0052,-10.864333333333335
0.0056166666666666665,-10.856499999999999
0.006033333333333333,-10.8585
0.00645,-10.853499999999999
0.006866666666666667,-10.852166666666667
0.0072833333333333335,-10.851166666666666
0.0077,-10.836666666666666
0.008116666666666666,-10.834000000000001
0.008533333333333334,-10.838000000000001
0.00895,-10.851833333333333
0.009366666666666667,-10.871166666666667
0.009783333333333333,-10.884500000000001
0.0102,-10.900333333333334
0.010616666666666667,-10.910833333333334
0.011033333333333332,-10.92
0.01145,-10.927333333333332
0.011866666666666666,-10.932333333333332
0.012283333333333334,-10.937166666666668
0.0127,-10.9425
0.013116666666666667,-10.946833333333332
0.013533333333333333,-10.948166666666667
0.01395,-10.948333333333332
0.014366666666666666,-10.948333333333332
0.014783333333333334,-10.949666666666666
0.0152,-10.953166666666668
0.015616666666666666,-10.959666666666665
0.016033333333333333,-10.963000000000001
0.01645,-10.968833333333334
0.016866666666666665,-10.972166666666666
0.017283333333333335,-10.972500000000002
0.0177,-10.970999999999998
0.018116666666666666,-10.964166666666666
0.018533333333333332,-10.957500000000001
0.01895,-10.948833333333333
0.019366666666666667,-10.946833333333332
0.019783333333333333,-10.948500000000001
0.0202,-10.948833333333333
0.020616666666666665,-10.955
0.021033333333333334,-10.955833333333333
0.02145,-10.952833333333336
0.021866666666666666,-10.951500000000001
0.022283333333333332,-10.946333333333333
0.0227,-10.944333333333333
0.023116666666666667,-10.931333333333335
0.023533333333333333,-10.916666666666666
0.02395,-10.904333333333334
0.024366666666666665,-10.889833333333334
0.024783333333333334,-10.893666666666666
0.0252,-10.899333333333333
0.025616666666666666,-10.915999999999999
0.026033333333333332,-10.934666666666667
0.02645,-10.945833333333333
0.026866666666666667,-10.9625
0.027283333333333333,-10.966166666666666
0.0277,-10.964166666666666
0.02811666666666667,-10.954166666666666
0.028533333333333334,-10.937833333333332
0.02895,-10.927
0.029366666666666666,-10.917833333333334
0.029783333333333332,-10.910666666666666
0.0302,-10.907333333333332
0.030616666666666667,-10.905833333333334
0.031033333333333333,-10.914166666666667
0.03145,-10.938666666666665
0.03186666666666667,-10.951833333333333
0.03228333333333333,-10.954999999999998
0.0327,-10.949166666666665
0.03311666666666667,-10.9375
0.03353333333333333,-10.933166666666667
0.03395,-10.917166666666667
0.03436666666666666,-10.907000000000002
0.03478333333333333,-10.901166666666668
0.0352,-10.891666666666666
0.035616666666666665,-10.893500000000001
0.036033333333333334,-10.887333333333332
0.03645,-10.875333333333336
0.036866666666666666,-10.859499999999999
0.037283333333333335,-10.844000000000001
0.0377,-10.828666666666665
0.03811666666666667,-10.8175
0.038533333333333336,-10.8075
0.03895,-10.802833333333334
0.03936666666666667,-10.811166666666665
0.03978333333333333,-10.817166666666667
0.0402,-10.835999999999999
0.04061666666666667,-10.853166666666667
0.04103333333333333,-10.8675
0.04145,-10.8815
0.04186666666666667,-10.885166666666665
0.04228333333333333,-10.892833333333334
0.0427,-10.896833333333333
0.043116666666666664,-10.900333333333334
0.043533333333333334,-10.909833333333333
0.04395,-10.921166666666666
0.044366666666666665,-10.93
0.044783333333333335,-10.931666666666667
0.0452,-10.931333333333335
0.045616666666666666,-10.924999999999999
0.046033333333333336,-10.908999999999999
0.04645,-10.897333333333334
0.04686666666666667,-10.877
