Retention Time (min),Total Absorbance Chromatogram (mAU)
0.0004166666666666667,-1462.2695000000006
0.0008333333333333334,-1463.445
0.00125,-1467.4185000000007
0.0016666666666666668,-1474.2820000000002
0.0020833333333333333,-1484.0665
0.0025,-1494.2575
0.002916666666666667,-1502.6214999999997
0.0033333333333333335,-1506.1995000000006
0.00375,-1505.4359999999992
0.004166666666666667,-1499.7725000000005
0.004583333333333333,-1494.187999999999
0.005,-1488.1610000000003
0.005416666666666667,-1484.0229999999992
0.005833333333333334,-1483.3335000000006
0.00625,-1482.7365
0.006666666666666667,-1484.1984999999995
0.007083333333333333,-1483.9409999999996
0.0075,-1482.1974999999995
0.007916666666666667,-1478.5074999999993
0.008333333333333333,-1472.7280000000007
0.00875,-1467.782
0.009166666666666667,-1464.985
0.009583333333333333,-1466.2775000000001
0.01,-1468.9114999999995
0.010416666666666666,-1473.9305000000004
0.010833333333333334,-1476.9654999999996
0.01125,-1478.333000000001
0.011666666666666667,-1480.6150000000005
0.012083333333333333,-1480.5404999999994
0.0125,-1481.5734999999997
0.012916666666666667,-1482.5505000000005
0.013333333333333334,-1484.8540000000003
0.01375,-1490.127
0.014166666666666666,-1492.7195
0.014583333333333334,-1494.2755000000004
0.015,-1493.3825000000002
0.015416666666666667,-1489.5840000000003
0.015833333333333335,-1488.5225
0.01625,-1487.5355000000009
0.016666666666666666,-1488.296999999999
0.017083333333333332,-1489.8575000000008
0.0175,-1491.2829999999992
0.017916666666666668,-1493.107499999999
0.018333333333333333,-1493.6264999999994
0.01875,-1492.556
0.019166666666666665,-1490.1729999999998
0.019583333333333335,-1487.5964999999994
0.02,-1484.8365000000006
0.020416666666666666,-1483.2495
0.020833333333333332,-1482.1230000000003
0.02125,-1481.442000000001
0.021666666666666667,-1483.3879999999995
0.022083333333333333,-1486.9964999999988
0.0225,-1489.8750000000005
0.022916666666666665,-1493.3684999999994
0.023333333333333334,-1495.229
0.02375,-1497.0139999999997
0.024166666666666666,-1499.416499999999
0.024583333333333332,-1501.2919999999997
0.025,-1502.4539999999988
0.025416666666666667,-1503.1825000000001
0.025833333333333333,-1503.2540000000001
0.02625,-1501.0945000000008
0.02666666666666667,-1495.8329999999992
0.027083333333333334,-1486.9444999999996
0.0275,-1480.0665000000001
0.027916666666666666,-1474.2645
0.028333333333333332,-1470.5045
0.02875,-1469.9919999999997
0.029166666666666667,-1468.8095000000005
0.029583333333333333,-1468.6415000000004
0.03,-1470.268999999999
0.030416666666666668,-1472.995
0.030833333333333334,-1477.516
0.03125,-1482.9814999999996
0.03166666666666667,-1489.1285000000005
0.03208333333333333,-1494.6575
0.0325,-1498.0190000000002
0.032916666666666664,-1499.4019999999998
0.03333333333333333,-1498.6035
0.03375,-1494.9395000000002
0.034166666666666665,-1489.2939999999999
0.034583333333333334,-1485.3885
0.035,-1481.4884999999997
0.035416666666666666,-1477.617
0.035833333333333335,-1474.461
0.03625,-1471.826
0.03666666666666667,-1471.3360000000002
0.037083333333333336,-1470.9610000000002
0.0375,-1472.440999999999
0.03791666666666667,-1473.0794999999994
0.03833333333333333,-1472.6999999999996
0.03875,-1473.7444999999998
0.03916666666666667,-1473.5189999999993
0.03958333333333333,-1474.0359999999991
0.04,-1474.2775000000008
0.04041666666666666,-1476.5560000000007
0.04083333333333333,-1479.4840000000006
0.04125,-1480.4979999999998
0.041666666666666664,-1483.2389999999998
0.042083333333333334,-1484.7934999999995
0.0425,-1487.3914999999993
0.042916666666666665,-1489.3489999999997
