Retention Time (min),290 nm intensity (mAU)
0.0004166666666666667,-9.734499999999999
0.0008333333333333334,-9.738833333333334
0.00125,-9.756
0.0016666666666666668,-9.765166666666666
0.0020833333333333333,-9.775833333333333
0.0025,-9.771333333333333
0.002916666666666667,-9.766333333333332
0.0033333333333333335,-9.753333333333332
0.00375,-9.732
0.004166666666666667,-9.719166666666666
0.004583333333333333,-9.706833333333334
0.005,-9.694999999999999
0.005416666666666667,-9.684833333333334
0.005833333333333334,-9.677666666666667
0.00625,-9.658
0.006666666666666667,-9.6365
0.007083333333333333,-9.608666666666666
0.0075,-9.591500000000002
0.007916666666666667,-9.584999999999999
0.008333333333333333,-9.5965
0.00875,-9.616
0.009166666666666667,-9.628833333333333
0.009583333333333333,-9.641166666666669
0.01,-9.630833333333333
0.010416666666666666,-9.616666666666667
0.010833333333333334,-9.581
0.01125,-9.556
0.011666666666666667,-9.557166666666665
0.012083333333333333,-9.568333333333333
0.0125,-9.601333333333333
0.012916666666666667,-9.619333333333332
0.013333333333333334,-9.630166666666666
0.01375,-9.633333333333333
0.014166666666666666,-9.6235
0.014583333333333334,-9.618833333333333
0.015,-9.614666666666666
0.015416666666666667,-9.616999999999999
0.015833333333333335,-9.635666666666667
0.01625,-9.655166666666666
0.016666666666666666,-9.663333333333334
0.017083333333333332,-9.657333333333334
0.0175,-9.645000000000001
0.017916666666666668,-9.634
0.018333333333333333,-9.633333333333333
0.01875,-9.641833333333333
0.019166666666666665,-9.647666666666666
0.019583333333333335,-9.665333333333335
0.02,-9.674333333333335
0.020416666666666666,-9.668000000000001
0.020833333333333332,-9.6505
0.02125,-9.613666666666665
0.021666666666666667,-9.586333333333334
0.022083333333333333,-9.568833333333332
0.0225,-9.565666666666667
0.022916666666666665,-9.576166666666667
0.023333333333333334,-9.579333333333333
0.02375,-9.576
0.024166666666666666,-9.566833333333333
0.024583333333333332,-9.544333333333332
0.025,-9.526000000000002
0.025416666666666667,-9.531166666666667
0.025833333333333333,-9.549166666666666
0.02625,-9.580166666666667
0.02666666666666667,-9.616666666666665
0.027083333333333334,-9.649333333333333
0.0275,-9.6675
0.027916666666666666,-9.673666666666668
0.028333333333333332,-9.668166666666666
0.02875,-9.6545
0.029166666666666667,-9.6385
0.029583333333333333,-9.6105
0.03,-9.585166666666668
0.030416666666666668,-9.57
0.030833333333333334,-9.569
0.03125,-9.591833333333334
0.03166666666666667,-9.615333333333334
0.03208333333333333,-9.635833333333334
0.0325,-9.645833333333334
0.032916666666666664,-9.635499999999999
0.03333333333333333,-9.624
0.03375,-9.604000000000001
0.034166666666666665,-9.593666666666666
0.034583333333333334,-9.600166666666667
0.035,-9.615
0.035416666666666666,-9.636833333333334
0.035833333333333335,-9.656333333333334
0.03625,-9.6745
0.03666666666666667,-9.695666666666666
0.037083333333333336,-9.708166666666667
0.0375,-9.717833333333333
0.03791666666666667,-9.710833333333333
0.03833333333333333,-9.6855
0.03875,-9.660833333333334
0.03916666666666667,-9.629
0.03958333333333333,-9.625666666666666
0.04,-9.632166666666668
0.04041666666666666,-9.656166666666666
0.04083333333333333,-9.692
0.04125,-9.727500000000001
0.041666666666666664,-9.767333333333333
0.042083333333333334,-9.788666666666666
0.0425,-9.801333333333332
0.042916666666666665,-9.792333333333334
0.043333333333333335,-9.776
0.04375,-9.753666666666666
0.04416666666666667,-9.727166666666667
0.044583333333333336,-9.701666666666666
0.045,-9.680166666666667
0.04541666666666667,-9.672666666666666
0.04583333333333333,-9.678166666666666
0.04625,-9.693666666666667
0.04666666666666667,-9.702666666666666
0.04708333333333333,-9.716833333333334
0.0475,-9.729166666666666
0.04791666666666667,-9.741166666666667
0.04833333333333333,-9.750666666666667
0.04875,-9.7445
0.049166666666666664,-9.732166666666666
0.04958333333333333,-9.703833333333334
0.05,-9.667833333333334
0.050416666666666665,-9.620833333333332
0.050833333333333335,-9.575833333333334
0.05125,-9.550333333333333
0.051666666666666666,-9.551666666666668
0.052083333333333336,-9.5795
0.0525,-9.612666666666668
0.05291666666666667,-9.658666666666667
