Retention Time (min),Total Absorbance Chromatogram (mAU)
0.0002,-1456.5439999999996
0.0006166666666666666,-1461.5405000000007
0.0010333333333333334,-1464.5094999999997
0.00145,-1465.3460000000011
0.0018666666666666666,-1465.0259999999994
0.0022833333333333334,-1461.2044999999998
0.0027,-1459.1014999999993
0.0031166666666666665,-1457.815
0.003533333333333333,-1457.3890000000004
0.00395,-1460.0880000000004
0.004366666666666666,-1463.7325
0.004783333333333333,-1468.318
0.0052,-1473.8939999999986
0.0056166666666666665,-1476.5659999999998
0.006033333333333333,-1476.785000000001
0.00645,-1475.102
0.006866666666666667,-1470.7600000000007
0.0072833333333333335,-1468.2169999999994
0.0077,-1465.9429999999993
0.008116666666666666,-1463.6039999999994
0.008533333333333334,-1464.3034999999995
0.00895,-1464.8164999999997
0.009366666666666667,-1469.4795000000008
0.009783333333333333,-1476.448
0.0102,-1482.6020000000005
0.010616666666666667,-1488.1630000000002
0.011033333333333332,-1489.3744999999994
0.01145,-1487.0519999999985
0.011866666666666666,-1480.5195000000003
0.012283333333333334,-1471.1510000000003
0.0127,-1463.1754999999998
0.013116666666666667,-1455.7969999999993
0.013533333333333333,-1451.2275000000006
0.01395,-1448.6615000000002
0.014366666666666666,-1447.2354999999989
0.014783333333333334,-1446.1980000000005
0.0152,-1443.9919999999997
0.015616666666666666,-1446.1039999999998
0.016033333333333333,-1448.7089999999998
0.01645,-1455.554
0.016866666666666665,-1461.5189999999996
0.017283333333333335,-1465.689
0.0177,-1470.5605000000007
0.018116666666666666,-1471.3000000000002
0.018533333333333332,-1472.8265000000001
0.01895,-1470.9294999999997
0.019366666666666667,-1467.409
0.019783333333333333,-1465.8195000000005
0.0202,-1466.5655
0.020616666666666665,-1470.2169999999999
0.021033333333333334,-1472.338
0.02145,-1472.3694999999984
0.021866666666666666,-1472.9145000000005
0.022283333333333332,-1470.9054999999998
0.0227,-1467.6285000000003
0.023116666666666667,-1462.1454999999996
0.023533333333333333,-1457.4224999999992
0.02395,-1454.8435000000004
0.024366666666666665,-1454.549
0.024783333333333334,-1457.9895000000004
0.0252,-1461.0305000000003
0.025616666666666666,-1466.000000000001
0.026033333333333332,-1470.0894999999998
0.02645,-1472.300999999999
0.026866666666666667,-1470.5855000000008
0.027283333333333333,-1465.1609999999996
0.0277,-1457.3615
0.02811666666666667,-1448.2294999999997
0.028533333333333334,-1442.0080000000003
0.02895,-1438.4999999999993
0.029366666666666666,-1439.7704999999999
0.029783333333333332,-1444.5489999999995
0.0302,-1451.3350000000007
0.030616666666666667,-1458.5330000000001
0.031033333333333333,-1462.8564999999996
0.03145,-1467.792
0.03186666666666667,-1468.8699999999994
0.03228333333333333,-1467.6299999999992
0.0327,-1466.6985000000002
0.03311666666666667,-1463.3784999999996
0.03353333333333333,-1461.9559999999994
0.03395,-1459.589
0.03436666666666666,-1459.1574999999998
0.03478333333333333,-1458.1125
0.0352,-1454.6295000000007
0.035616666666666665,-1451.7145000000005
0.036033333333333334,-1448.5104999999996
0.03645,-1447.9005000000004
0.036866666666666666,-1450.1330000000003
