Retention Time (min),210 nm intensity (mAU)
0.0004166666666666667,-187.22466666666665
0.0008333333333333334,-187.13666666666668
0.00125,-187.04633333333334
0.0016666666666666668,-186.95216666666667
0.0020833333333333333,-186.86066666666667
0.0025,-186.76366666666664
0.002916666666666667,-186.665
0.0033333333333333335,-186.56750000000002
0.00375,-186.46766666666667
0.004166666666666667,-186.3735
0.004583333333333333,-186.27783333333332
0.005,-186.187
0.005416666666666667,-186.10066666666668
0.005833333333333334,-186.01350000000002
0.00625,-185.93050000000002
0.006666666666666667,-185.83866666666665
0.007083333333333333,-185.7408333333333
0.0075,-185.63566666666668
0.007916666666666667,-185.51950000000002
0.008333333333333333,-185.40033333333335
0.00875,-185.28016666666667
0.009166666666666667,-185.16333333333333
0.009583333333333333,-185.05766666666668
0.01,-184.95749999999998
0.010416666666666666,-184.8655
0.010833333333333334,-184.77433333333332
0.01125,-184.67733333333334
0.011666666666666667,-184.58
0.012083333333333333,-184.4768333333333
0.0125,-184.3735
0.012916666666666667,-184.2695
0.013333333333333334,-184.16549999999998
0.01375,-184.06433333333334
0.014166666666666666,-183.95783333333335
0.014583333333333334,-183.85083333333333
0.015,-183.7405
0.015416666666666667,-183.62416666666664
0.015833333333333335,-183.5105
0.01625,-183.40533333333335
0.016666666666666666,-183.31183333333334
0.017083333333333332,-183.22349999999997
0.0175,-183.13783333333333
0.017916666666666668,-183.05066666666667
0.018333333333333333,-182.95266666666666
0.01875,-182.847
0.019166666666666665,-182.73850000000002
0.019583333333333335,-182.63016666666667
0.02,-182.52599999999998
0.020416666666666666,-182.427
0.020833333333333332,-182.32966666666667
0.02125,-182.22466666666665
0.021666666666666667,-182.11466666666664
0.022083333333333333,-182.0008333333333
0.0225,-181.88633333333334
0.022916666666666665,-181.77633333333333
0.023333333333333334,-181.67116666666666
0.02375,-181.577
0.024166666666666666,-181.48199999999997
0.024583333333333332,-181.3791666666667
0.025,-181.26649999999998
0.025416666666666667,-181.14683333333332
0.025833333333333333,-181.03016666666667
0.02625,-180.91566666666665
0.02666666666666667,-180.80666666666664
0.027083333333333334,-180.70416666666665
0.0275,-180.60583333333332
0.027916666666666666,-180.51216666666667
0.028333333333333332,-180.4165
0.02875,-180.31683333333334
0.029166666666666667,-180.21183333333332
0.029583333333333333,-180.10366666666664
0.03,-179.99799999999996
0.030416666666666668,-179.89016666666666
0.030833333333333334,-179.78083333333336
0.03125,-179.67083333333332
0.03166666666666667,-179.56033333333335
0.03208333333333333,-179.448
